        30s  thinking 5,299, writing 0
        60s  thinking 10,339, writing 0
        90s  thinking 16,198, writing 0
       120s  thinking 21,255, writing 0
       150s  thinking 26,419, writing 0
       180s  thinking 32,204, writing 0
       210s  thinking 37,860, writing 0
       240s  thinking 42,853, writing 0
       270s  thinking 48,147, writing 0
       300s  thinking 53,480, writing 0
       330s  thinking 58,980, writing 0
       360s  thinking 64,023, writing 0
       390s  thinking 69,300, writing 0
       420s  thinking 74,041, writing 0
       450s  thinking 79,624, writing 0
       480s  thinking 86,344, writing 0
       510s  thinking 92,467, writing 0
       540s  thinking 97,262, writing 0
       571s  thinking 102,163, writing 0
       601s  thinking 108,482, writing 0
       631s  thinking 114,877, writing 0
       661s  thinking 122,373, writing 0
       691s  thinking 126,986, writing 0
       721s  thinking 131,676, writing 0
       751s  thinking 136,219, writing 0
       781s  thinking 141,522, writing 0
       811s  thinking 146,417, writing 0
       841s  thinking 150,780, writing 0
       871s  thinking 158,330, writing 0
       901s  thinking 166,842, writing 0
       931s  thinking 172,062, writing 0
       961s  thinking 176,297, writing 0
       991s  thinking 180,815, writing 0
      1021s  thinking 182,263, writing 6,149
      1051s  thinking 182,263, writing 15,160
  02-where: 1062s, thought 182,263 chars, wrote 17,937 chars
