        30s  thinking 4,850, writing 0
        60s  thinking 10,379, writing 0
        90s  thinking 15,098, writing 0
       120s  thinking 19,432, writing 0
       150s  thinking 24,121, writing 0
       180s  thinking 28,372, writing 0
       210s  thinking 32,440, writing 0
       240s  thinking 36,584, writing 0
       270s  thinking 41,330, writing 0
       300s  thinking 45,899, writing 0
       330s  thinking 50,692, writing 0
       360s  thinking 56,112, writing 0
       390s  thinking 61,199, writing 0
       421s  thinking 65,399, writing 0
       451s  thinking 69,957, writing 0
       481s  thinking 74,384, writing 0
       511s  thinking 78,656, writing 0
       541s  thinking 83,451, writing 0
       571s  thinking 87,853, writing 0
       601s  thinking 92,181, writing 0
       631s  thinking 97,203, writing 0
       661s  thinking 101,971, writing 0
       691s  thinking 106,586, writing 0
       721s  thinking 111,403, writing 0
       751s  thinking 116,875, writing 0
       781s  thinking 121,735, writing 0
       811s  thinking 127,536, writing 0
       841s  thinking 133,052, writing 0
       871s  thinking 138,202, writing 0
       901s  thinking 143,337, writing 0
       931s  thinking 148,289, writing 0
       961s  thinking 153,115, writing 0
       991s  thinking 158,408, writing 0
      1022s  thinking 162,828, writing 0
      1052s  thinking 167,250, writing 0
      1082s  thinking 171,523, writing 0
      1112s  thinking 175,352, writing 0
      1142s  thinking 180,545, writing 0
      1172s  thinking 185,817, writing 0
      1202s  thinking 191,293, writing 0
      1232s  thinking 198,138, writing 0
      1262s  thinking 205,104, writing 0
      1292s  thinking 210,535, writing 0
      1322s  thinking 216,152, writing 0
      1352s  thinking 220,472, writing 0
      1382s  thinking 224,626, writing 0
      1412s  thinking 229,159, writing 0
      1442s  thinking 233,670, writing 0
      1472s  thinking 237,499, writing 0
      1502s  thinking 244,229, writing 0
      1532s  thinking 249,157, writing 0
      1562s  thinking 253,154, writing 0
      1593s  thinking 257,975, writing 0
      1623s  thinking 262,294, writing 0
      1653s  thinking 266,289, writing 0
      1683s  thinking 269,948, writing 1,050
      1713s  thinking 269,948, writing 9,184
      1743s  thinking 269,948, writing 16,437
      1773s  thinking 269,948, writing 23,956
      1803s  thinking 269,948, writing 32,150
      1833s  thinking 269,948, writing 40,996
  03-rails: 1850s, thought 269,948 chars, wrote 45,201 chars
