        30s  thinking 6,037, writing 0
        60s  thinking 12,259, writing 0
        90s  thinking 18,084, writing 0
       120s  thinking 24,156, writing 0
       150s  thinking 29,213, writing 0
       180s  thinking 34,201, writing 0
       210s  thinking 38,030, writing 0
       240s  thinking 42,266, writing 0
       270s  thinking 46,750, writing 0
       300s  thinking 51,823, writing 0
       330s  thinking 57,221, writing 0
       360s  thinking 62,242, writing 0
       391s  thinking 66,967, writing 0
       421s  thinking 71,508, writing 0
       451s  thinking 76,703, writing 0
       481s  thinking 81,912, writing 0
       511s  thinking 86,850, writing 0
       541s  thinking 91,794, writing 0
       571s  thinking 96,698, writing 0
       601s  thinking 101,576, writing 0
       631s  thinking 105,458, writing 0
       661s  thinking 109,333, writing 0
       691s  thinking 114,594, writing 0
       721s  thinking 119,521, writing 0
       751s  thinking 124,747, writing 0
       781s  thinking 130,144, writing 0
       811s  thinking 135,155, writing 0
       841s  thinking 140,146, writing 0
       871s  thinking 144,923, writing 0
       901s  thinking 148,997, writing 0
       931s  thinking 152,552, writing 0
       961s  thinking 157,252, writing 0
       991s  thinking 161,629, writing 0
      1021s  thinking 166,647, writing 0
      1052s  thinking 172,045, writing 0
      1082s  thinking 175,911, writing 0
      1112s  thinking 179,992, writing 0
      1142s  thinking 185,188, writing 0
      1172s  thinking 189,839, writing 0
      1202s  thinking 194,162, writing 0
      1232s  thinking 197,379, writing 0
      1262s  thinking 201,295, writing 0
      1292s  thinking 205,184, writing 0
      1322s  thinking 209,459, writing 0
      1352s  thinking 214,090, writing 0
      1382s  thinking 219,339, writing 0
      1412s  thinking 224,921, writing 0
      1442s  thinking 230,857, writing 0
      1472s  thinking 236,967, writing 0
      1502s  thinking 243,312, writing 0
      1532s  thinking 249,710, writing 0
      1562s  thinking 255,734, writing 0
      1592s  thinking 261,690, writing 0
      1622s  thinking 266,871, writing 0
      1652s  thinking 272,762, writing 0
      1682s  thinking 278,047, writing 0
      1712s  thinking 282,469, writing 0
      1742s  thinking 287,211, writing 0
      1772s  thinking 292,274, writing 0
      1802s  thinking 298,181, writing 0
      1832s  thinking 303,571, writing 0
      1862s  thinking 308,624, writing 0
      1892s  thinking 313,161, writing 0
      1922s  thinking 319,509, writing 0
      1953s  thinking 323,923, writing 0
      1983s  thinking 328,180, writing 0
      2013s  thinking 331,791, writing 0
      2043s  thinking 336,119, writing 0
      2073s  thinking 341,040, writing 0
      2103s  thinking 345,827, writing 0
      2133s  thinking 351,617, writing 0
      2163s  thinking 356,365, writing 0
      2193s  thinking 360,370, writing 0
      2223s  thinking 365,325, writing 0
      2253s  thinking 371,626, writing 0
      2283s  thinking 375,978, writing 0
      2313s  thinking 378,982, writing 2,252
      2343s  thinking 378,982, writing 10,033
      2373s  thinking 378,982, writing 19,076
      2403s  thinking 378,982, writing 26,851
      2433s  thinking 378,982, writing 34,108
      2463s  thinking 378,982, writing 42,270
      2493s  thinking 378,982, writing 49,471
      2523s  thinking 378,982, writing 57,452
  04-search: 2553s, thought 378,982 chars, wrote 66,122 chars
