        30s  thinking 5,919, writing 0
        60s  thinking 10,895, writing 0
        90s  thinking 15,905, writing 0
       120s  thinking 20,480, writing 0
       150s  thinking 25,617, writing 0
       180s  thinking 30,197, writing 0
       210s  thinking 34,871, writing 0
       240s  thinking 39,745, writing 0
       270s  thinking 44,096, writing 0
       300s  thinking 48,746, writing 0
       330s  thinking 53,397, writing 0
       361s  thinking 58,273, writing 0
       391s  thinking 62,741, writing 0
       421s  thinking 67,278, writing 0
       451s  thinking 71,650, writing 0
       481s  thinking 76,257, writing 0
       511s  thinking 81,344, writing 0
       541s  thinking 86,099, writing 0
       571s  thinking 91,114, writing 0
       601s  thinking 95,955, writing 0
       631s  thinking 100,633, writing 0
       661s  thinking 106,217, writing 0
       691s  thinking 111,362, writing 0
       721s  thinking 116,823, writing 0
       751s  thinking 122,261, writing 0
       781s  thinking 127,881, writing 0
       811s  thinking 133,144, writing 0
       841s  thinking 138,951, writing 0
       871s  thinking 144,083, writing 0
       901s  thinking 149,772, writing 0
       931s  thinking 155,545, writing 0
       961s  thinking 161,033, writing 0
       991s  thinking 165,644, writing 0
      1021s  thinking 170,453, writing 0
      1051s  thinking 174,919, writing 0
      1081s  thinking 181,189, writing 0
      1111s  thinking 185,726, writing 0
      1141s  thinking 190,011, writing 0
      1172s  thinking 194,786, writing 0
      1202s  thinking 200,698, writing 0
      1232s  thinking 206,314, writing 0
      1262s  thinking 211,206, writing 0
      1292s  thinking 217,778, writing 0
      1322s  thinking 224,694, writing 0
      1352s  thinking 230,593, writing 0
      1382s  thinking 237,797, writing 0
      1412s  thinking 244,868, writing 0
      1442s  thinking 249,843, writing 0
      1472s  thinking 254,826, writing 0
      1502s  thinking 256,123, writing 5,902
      1532s  thinking 256,123, writing 14,375
      1562s  thinking 256,123, writing 22,463
      1592s  thinking 256,123, writing 31,218
      1622s  thinking 256,123, writing 40,195
      1652s  thinking 256,123, writing 49,629
      1682s  thinking 256,123, writing 57,722
  05-panels: 1705s, thought 256,123 chars, wrote 63,746 chars
