        30s  thinking 4,571, writing 0
        60s  thinking 9,125, writing 0
        90s  thinking 13,604, writing 0
       120s  thinking 18,123, writing 0
       150s  thinking 22,388, writing 0
       180s  thinking 26,578, writing 0
       210s  thinking 30,592, writing 0
       240s  thinking 34,756, writing 0
       270s  thinking 38,802, writing 0
       300s  thinking 43,218, writing 0
       330s  thinking 47,622, writing 0
       360s  thinking 51,864, writing 0
       391s  thinking 56,470, writing 0
       421s  thinking 60,780, writing 0
       451s  thinking 65,015, writing 0
       481s  thinking 69,153, writing 0
       511s  thinking 74,230, writing 0
       541s  thinking 78,970, writing 0
       571s  thinking 84,800, writing 0
       601s  thinking 89,687, writing 0
       631s  thinking 95,926, writing 0
       661s  thinking 101,896, writing 0
       691s  thinking 107,242, writing 0
       721s  thinking 112,248, writing 0
       751s  thinking 116,819, writing 0
       781s  thinking 121,334, writing 0
       811s  thinking 126,254, writing 0
       841s  thinking 127,052, writing 5,934
       871s  thinking 127,052, writing 12,795
       901s  thinking 127,052, writing 20,613
       931s  thinking 127,052, writing 28,860
       962s  thinking 127,052, writing 36,532
       992s  thinking 127,052, writing 43,830
  06-controls: 994s, thought 127,052 chars, wrote 44,253 chars
