        30s  thinking 5,245, writing 0
        60s  thinking 9,935, writing 0
        90s  thinking 15,329, writing 0
       120s  thinking 20,062, writing 0
       150s  thinking 25,179, writing 0
       180s  thinking 30,575, writing 0
       210s  thinking 35,465, writing 0
       240s  thinking 40,503, writing 0
       270s  thinking 45,858, writing 0
       300s  thinking 51,470, writing 0
       330s  thinking 56,715, writing 0
       360s  thinking 62,478, writing 0
       390s  thinking 67,673, writing 0
       421s  thinking 73,354, writing 0
       451s  thinking 78,842, writing 0
       481s  thinking 84,605, writing 0
       511s  thinking 90,369, writing 0
       541s  thinking 95,957, writing 0
       571s  thinking 100,637, writing 0
       601s  thinking 107,320, writing 0
       631s  thinking 112,737, writing 0
       661s  thinking 117,851, writing 0
       691s  thinking 124,349, writing 0
       721s  thinking 129,587, writing 0
       751s  thinking 130,836, writing 5,957
       781s  thinking 130,836, writing 14,215
       811s  thinking 130,836, writing 23,467
       841s  thinking 130,836, writing 33,290
       871s  thinking 130,836, writing 42,514
  07-rows: 894s, thought 130,836 chars, wrote 47,947 chars
