        30s  thinking 4,677, writing 0
        60s  thinking 9,164, writing 0
        90s  thinking 13,674, writing 0
       120s  thinking 18,395, writing 0
       150s  thinking 22,889, writing 0
       180s  thinking 27,246, writing 0
       210s  thinking 31,851, writing 0
       240s  thinking 36,015, writing 0
       270s  thinking 40,827, writing 0
       300s  thinking 45,921, writing 0
       330s  thinking 50,958, writing 0
       360s  thinking 56,061, writing 0
       390s  thinking 61,285, writing 0
       420s  thinking 66,569, writing 0
       450s  thinking 71,499, writing 0
       481s  thinking 76,921, writing 0
       511s  thinking 81,679, writing 0
       541s  thinking 85,816, writing 0
       571s  thinking 90,179, writing 0
       601s  thinking 95,833, writing 0
       631s  thinking 100,499, writing 0
       661s  thinking 107,125, writing 0
       691s  thinking 115,505, writing 0
       721s  thinking 121,376, writing 0
       751s  thinking 127,041, writing 0
       781s  thinking 131,928, writing 0
       811s  thinking 135,359, writing 1,447
       841s  thinking 135,359, writing 10,514
       871s  thinking 135,359, writing 20,311
  08-look: 881s, thought 135,359 chars, wrote 22,645 chars
