        30s  thinking 5,281, writing 0
        60s  thinking 10,603, writing 0
        90s  thinking 17,857, writing 0
       120s  thinking 22,749, writing 0
       150s  thinking 28,865, writing 0
       180s  thinking 33,858, writing 0
       210s  thinking 40,015, writing 0
       240s  thinking 45,874, writing 0
       270s  thinking 53,848, writing 0
       300s  thinking 59,451, writing 0
       330s  thinking 64,355, writing 0
       360s  thinking 70,485, writing 0
       390s  thinking 75,389, writing 0
       420s  thinking 81,639, writing 0
       450s  thinking 88,834, writing 0
       480s  thinking 95,636, writing 0
       510s  thinking 100,762, writing 0
       541s  thinking 100,793, writing 12,058
  10-guidance: 547s, thought 100,793 chars, wrote 14,047 chars
