        30s  thinking 4,525, writing 0
        60s  thinking 8,829, writing 0
        90s  thinking 13,175, writing 0
       120s  thinking 17,351, writing 0
       150s  thinking 21,717, writing 0
       180s  thinking 26,493, writing 0
       210s  thinking 30,859, writing 0
       240s  thinking 35,113, writing 0
       270s  thinking 39,742, writing 0
       300s  thinking 45,302, writing 0
       330s  thinking 52,847, writing 0
       360s  thinking 58,272, writing 0
       390s  thinking 62,905, writing 0
       420s  thinking 67,388, writing 0
       450s  thinking 72,960, writing 0
       481s  thinking 79,657, writing 0
       511s  thinking 81,512, writing 6,497
  12-type: 533s, thought 81,512 chars, wrote 12,013 chars
