        30s  thinking 3,262, writing 0
        60s  thinking 7,321, writing 0
        90s  thinking 11,640, writing 0
       120s  thinking 15,867, writing 0
       150s  thinking 19,777, writing 0
       180s  thinking 23,820, writing 0
       210s  thinking 28,279, writing 0
       240s  thinking 32,258, writing 0
       270s  thinking 36,099, writing 0
       300s  thinking 40,186, writing 0
       330s  thinking 44,824, writing 0
       360s  thinking 49,995, writing 0
       391s  thinking 54,852, writing 0
       421s  thinking 58,874, writing 0
       451s  thinking 62,894, writing 0
       481s  thinking 66,899, writing 0
       511s  thinking 73,413, writing 0
       541s  thinking 78,743, writing 0
       571s  thinking 80,704, writing 3,485
       601s  thinking 80,704, writing 10,581
  16-wholesource: 612s, thought 80,704 chars, wrote 12,077 chars
