        30s  thinking 3,819, writing 0
        60s  thinking 8,892, writing 0
        90s  thinking 14,177, writing 0
       120s  thinking 19,403, writing 0
       150s  thinking 24,301, writing 0
       180s  thinking 29,460, writing 0
       210s  thinking 35,159, writing 0
       240s  thinking 39,830, writing 138
       270s  thinking 39,830, writing 8,006
       300s  thinking 39,830, writing 15,988
       330s  thinking 39,830, writing 24,612
  18-reviews: 358s, thought 39,830 chars, wrote 30,878 chars
