        30s  thinking 3,924, writing 0
        60s  thinking 8,512, writing 0
        90s  thinking 13,320, writing 0
       120s  thinking 18,225, writing 0
       150s  thinking 22,605, writing 0
       180s  thinking 26,871, writing 0
       210s  thinking 31,048, writing 0
       240s  thinking 35,749, writing 0
       270s  thinking 40,964, writing 0
       300s  thinking 46,082, writing 0
       330s  thinking 51,038, writing 0
       360s  thinking 55,775, writing 0
       391s  thinking 60,507, writing 0
       421s  thinking 64,936, writing 0
       451s  thinking 69,742, writing 0
       481s  thinking 74,283, writing 0
       511s  thinking 79,176, writing 0
       541s  thinking 84,657, writing 0
       571s  thinking 91,134, writing 0
       601s  thinking 96,702, writing 0
       631s  thinking 101,488, writing 0
       661s  thinking 105,747, writing 0
       691s  thinking 111,239, writing 0
       721s  thinking 116,822, writing 0
       751s  thinking 122,028, writing 0
       781s  thinking 128,242, writing 0
       811s  thinking 133,856, writing 0
       841s  thinking 139,123, writing 0
       871s  thinking 144,385, writing 0
       901s  thinking 149,652, writing 0
       931s  thinking 154,276, writing 0
       961s  thinking 159,503, writing 0
       991s  thinking 164,076, writing 0
      1021s  thinking 168,761, writing 0
      1052s  thinking 173,310, writing 0
      1082s  thinking 178,785, writing 0
      1112s  thinking 183,159, writing 0
      1142s  thinking 185,092, writing 4,533
      1172s  thinking 185,092, writing 12,588
      1202s  thinking 185,092, writing 20,365
      1232s  thinking 185,092, writing 28,868
      1262s  thinking 185,092, writing 36,915
  19-phone: 1271s, thought 185,092 chars, wrote 38,605 chars
