        33s  thinking 2, writing 0
        64s  thinking 3,813, writing 0
        94s  thinking 7,920, writing 0
       124s  thinking 11,971, writing 0
       154s  thinking 15,946, writing 0
       184s  thinking 19,849, writing 0
       214s  thinking 24,018, writing 0
       244s  thinking 28,714, writing 0
       274s  thinking 32,907, writing 0
       304s  thinking 36,943, writing 0
       334s  thinking 41,261, writing 0
       364s  thinking 45,387, writing 0
       394s  thinking 49,121, writing 0
       424s  thinking 53,105, writing 0
       454s  thinking 57,141, writing 0
       484s  thinking 61,454, writing 0
       514s  thinking 65,706, writing 0
       544s  thinking 71,289, writing 0
       574s  thinking 76,168, writing 0
       604s  thinking 79,953, writing 0
       634s  thinking 83,630, writing 0
       664s  thinking 87,546, writing 0
       694s  thinking 92,272, writing 0
       724s  thinking 99,303, writing 0
       754s  thinking 103,678, writing 0
       784s  thinking 106,690, writing 1,092
       814s  thinking 106,690, writing 8,868
  20-overlay: 824s, thought 106,690 chars, wrote 10,358 chars
