        30s  thinking 5,638, writing 0
        60s  thinking 11,202, writing 0
        90s  thinking 15,983, writing 0
       120s  thinking 20,787, writing 0
       150s  thinking 26,299, writing 0
       180s  thinking 32,200, writing 0
       210s  thinking 38,048, writing 0
       240s  thinking 43,905, writing 0
       270s  thinking 50,315, writing 0
       300s  thinking 56,347, writing 0
       330s  thinking 62,494, writing 0
       360s  thinking 67,930, writing 0
       390s  thinking 73,198, writing 0
       420s  thinking 78,613, writing 0
       450s  thinking 84,566, writing 0
       480s  thinking 90,061, writing 0
       510s  thinking 99,262, writing 0
       540s  thinking 105,227, writing 0
       570s  thinking 110,393, writing 0
       600s  thinking 115,553, writing 582
       631s  thinking 115,553, writing 11,048
  23-axis: 635s, thought 115,553 chars, wrote 12,758 chars
