        30s  thinking 3,099, writing 0
        60s  thinking 6,632, writing 0
        90s  thinking 9,913, writing 0
       120s  thinking 13,660, writing 0
       150s  thinking 16,864, writing 0
       180s  thinking 19,921, writing 0
       210s  thinking 23,556, writing 0
       240s  thinking 27,276, writing 0
       270s  thinking 31,792, writing 0
       300s  thinking 35,919, writing 0
       330s  thinking 39,239, writing 0
       360s  thinking 44,137, writing 0
       391s  thinking 49,127, writing 0
       421s  thinking 50,491, writing 4,120
  24-place: 442s, thought 50,491 chars, wrote 8,759 chars
