        30s  thinking 4,965, writing 0
        60s  thinking 9,374, writing 0
        90s  thinking 13,749, writing 0
       120s  thinking 18,408, writing 0
       150s  thinking 22,662, writing 0
       180s  thinking 27,335, writing 0
       210s  thinking 31,897, writing 0
       240s  thinking 36,901, writing 0
       270s  thinking 41,446, writing 0
       300s  thinking 46,375, writing 0
       330s  thinking 51,077, writing 0
       360s  thinking 55,776, writing 0
       391s  thinking 61,111, writing 0
       421s  thinking 66,133, writing 0
       451s  thinking 72,015, writing 0
       481s  thinking 76,941, writing 0
       511s  thinking 81,891, writing 0
       541s  thinking 86,378, writing 0
       571s  thinking 90,695, writing 0
       601s  thinking 95,108, writing 0
       631s  thinking 96,982, writing 4,129
       661s  thinking 96,982, writing 11,538
       691s  thinking 96,982, writing 20,135
       721s  thinking 96,982, writing 28,034
       751s  thinking 96,982, writing 35,456
  35-dossiers: 757s, thought 96,982 chars, wrote 37,009 chars
