        30s  thinking 5,304, writing 0
        60s  thinking 10,175, writing 0
        90s  thinking 15,167, writing 0
       120s  thinking 19,788, writing 0
       150s  thinking 25,269, writing 0
       180s  thinking 30,065, writing 0
       210s  thinking 34,910, writing 0
       240s  thinking 39,883, writing 0
       270s  thinking 44,787, writing 0
       300s  thinking 49,714, writing 0
       330s  thinking 55,409, writing 0
       360s  thinking 62,649, writing 0
       390s  thinking 66,986, writing 0
       420s  thinking 69,069, writing 4,702
       451s  thinking 69,069, writing 13,358
       481s  thinking 69,069, writing 23,355
       511s  thinking 69,069, writing 32,541
       541s  thinking 69,069, writing 42,168
  37-wire: 553s, thought 69,069 chars, wrote 46,505 chars
