        30s  thinking 5,335, writing 0
        60s  thinking 10,323, writing 0
        90s  thinking 14,915, writing 0
       120s  thinking 19,280, writing 0
       150s  thinking 24,395, writing 0
       180s  thinking 29,377, writing 0
       210s  thinking 34,384, writing 0
       240s  thinking 39,468, writing 0
       270s  thinking 44,738, writing 0
       300s  thinking 49,939, writing 0
       330s  thinking 55,105, writing 0
       360s  thinking 59,438, writing 0
       390s  thinking 64,785, writing 0
       420s  thinking 72,525, writing 0
       451s  thinking 77,349, writing 0
       481s  thinking 82,339, writing 0
       511s  thinking 87,094, writing 0
       541s  thinking 87,339, writing 7,494
       571s  thinking 87,339, writing 16,697
       601s  thinking 87,339, writing 26,376
       631s  thinking 87,339, writing 35,245
       661s  thinking 87,339, writing 44,510
       691s  thinking 87,339, writing 53,731
  38-locate: 697s, thought 87,339 chars, wrote 55,492 chars
