        30s  thinking 4,535, writing 0
        60s  thinking 9,732, writing 0
        90s  thinking 14,435, writing 0
       120s  thinking 19,541, writing 0
       150s  thinking 25,004, writing 0
       180s  thinking 25,046, writing 8,095
       210s  thinking 25,046, writing 15,799
       240s  thinking 25,046, writing 25,158
       270s  thinking 25,046, writing 33,823
       300s  thinking 25,046, writing 42,157
       330s  thinking 25,046, writing 49,929
       360s  thinking 25,046, writing 58,746
  40-honest: 376s, thought 25,046 chars, wrote 63,717 chars
