        30s  thinking 3,652, writing 0
        60s  thinking 7,973, writing 0
        90s  thinking 12,100, writing 0
       120s  thinking 16,224, writing 0
       150s  thinking 20,054, writing 0
       180s  thinking 24,022, writing 0
       211s  thinking 28,810, writing 0
       241s  thinking 34,330, writing 0
       271s  thinking 40,106, writing 0
       301s  thinking 44,138, writing 0
       331s  thinking 48,186, writing 0
       361s  thinking 53,464, writing 0
       391s  thinking 58,131, writing 0
       421s  thinking 63,595, writing 0
       451s  thinking 69,785, writing 0
       481s  thinking 72,623, writing 1,891
       511s  thinking 72,623, writing 8,295
       541s  thinking 72,623, writing 14,923
       571s  thinking 72,623, writing 23,201
       601s  thinking 72,623, writing 31,017
       632s  thinking 72,623, writing 38,552
       662s  thinking 72,623, writing 46,456
       692s  thinking 72,623, writing 54,670
       722s  thinking 72,623, writing 63,055
       752s  thinking 72,623, writing 70,504
  41-conflicts: 773s, thought 72,623 chars, wrote 76,064 chars
