        30s  thinking 4,113, writing 0
        60s  thinking 8,188, writing 0
        90s  thinking 12,325, writing 0
       120s  thinking 16,450, writing 0
       150s  thinking 20,214, writing 0
       181s  thinking 23,988, writing 0
       211s  thinking 27,852, writing 0
       241s  thinking 31,624, writing 0
       271s  thinking 35,492, writing 0
       301s  thinking 38,874, writing 0
       331s  thinking 42,661, writing 0
       361s  thinking 46,684, writing 0
       391s  thinking 50,679, writing 0
       421s  thinking 54,689, writing 0
       451s  thinking 58,892, writing 0
       481s  thinking 62,427, writing 0
       511s  thinking 67,004, writing 0
       541s  thinking 72,261, writing 0
       571s  thinking 77,190, writing 0
       601s  thinking 81,450, writing 0
       631s  thinking 85,307, writing 0
       662s  thinking 89,514, writing 0
       692s  thinking 93,355, writing 0
       722s  thinking 97,319, writing 0
       752s  thinking 103,173, writing 0
       782s  thinking 108,906, writing 0
       812s  thinking 113,795, writing 0
       842s  thinking 117,757, writing 0
       872s  thinking 121,539, writing 0
       902s  thinking 125,279, writing 282
       932s  thinking 125,279, writing 8,251
       962s  thinking 125,279, writing 14,858
  42b-inert: 968s, thought 125,279 chars, wrote 15,594 chars
