        30s  thinking 4,963, writing 0
        60s  thinking 9,689, writing 0
        90s  thinking 14,521, writing 0
       120s  thinking 19,518, writing 0
       150s  thinking 24,088, writing 0
       180s  thinking 28,764, writing 0
       210s  thinking 33,298, writing 0
       240s  thinking 38,069, writing 0
       270s  thinking 42,779, writing 0
       300s  thinking 47,774, writing 0
       330s  thinking 52,609, writing 0
       361s  thinking 56,921, writing 0
       391s  thinking 61,301, writing 0
       421s  thinking 65,583, writing 0
       451s  thinking 70,238, writing 0
       481s  thinking 75,131, writing 0
       511s  thinking 79,836, writing 0
       541s  thinking 84,329, writing 0
       571s  thinking 89,267, writing 0
       601s  thinking 93,970, writing 0
       631s  thinking 98,557, writing 0
       661s  thinking 103,693, writing 0
       691s  thinking 108,708, writing 0
       721s  thinking 115,076, writing 0
       751s  thinking 121,971, writing 0
       781s  thinking 127,222, writing 0
       811s  thinking 131,723, writing 0
       842s  thinking 136,778, writing 0
       872s  thinking 140,699, writing 0
       902s  thinking 145,710, writing 0
       932s  thinking 149,878, writing 0
       962s  thinking 156,996, writing 0
       992s  thinking 163,826, writing 0
      1022s  thinking 168,788, writing 0
      1052s  thinking 169,206, writing 7,860
  42c-inert: 1065s, thought 169,206 chars, wrote 11,858 chars
