        30s  thinking 4,198, writing 0
        60s  thinking 8,254, writing 0
        90s  thinking 12,200, writing 0
       120s  thinking 16,125, writing 0
       150s  thinking 19,621, writing 0
       180s  thinking 23,565, writing 0
       210s  thinking 27,505, writing 0
       240s  thinking 32,195, writing 0
       270s  thinking 36,619, writing 0
       300s  thinking 40,588, writing 0
       330s  thinking 45,324, writing 0
       360s  thinking 49,934, writing 0
       390s  thinking 54,536, writing 0
       420s  thinking 59,198, writing 0
       450s  thinking 63,797, writing 0
       481s  thinking 67,832, writing 0
       511s  thinking 71,836, writing 0
       541s  thinking 75,789, writing 0
       571s  thinking 80,304, writing 0
       601s  thinking 84,419, writing 0
       631s  thinking 88,735, writing 0
       661s  thinking 93,107, writing 0
       691s  thinking 97,716, writing 0
       721s  thinking 102,669, writing 0
       751s  thinking 107,325, writing 0
       781s  thinking 112,559, writing 0
       811s  thinking 117,773, writing 0
       841s  thinking 122,440, writing 0
       871s  thinking 127,044, writing 0
       901s  thinking 130,680, writing 0
       931s  thinking 136,571, writing 0
       961s  thinking 143,433, writing 0
       991s  thinking 148,666, writing 0
      1021s  thinking 153,111, writing 0
      1051s  thinking 157,727, writing 0
      1081s  thinking 162,664, writing 0
      1112s  thinking 167,506, writing 0
      1142s  thinking 175,768, writing 0
      1172s  thinking 182,024, writing 0
      1202s  thinking 186,868, writing 0
      1232s  thinking 191,116, writing 0
      1262s  thinking 191,878, writing 6,586
      1292s  thinking 191,878, writing 16,291
  43b-drift: 1295s, thought 191,878 chars, wrote 17,130 chars
