        31s  thinking 5,336, writing 0
        61s  thinking 10,750, writing 0
        91s  thinking 15,831, writing 0
       122s  thinking 21,835, writing 0
       152s  thinking 27,554, writing 0
       182s  thinking 32,518, writing 0
       212s  thinking 37,348, writing 0
       242s  thinking 42,685, writing 0
       272s  thinking 47,944, writing 0
       302s  thinking 52,646, writing 0
       332s  thinking 57,739, writing 0
       363s  thinking 63,396, writing 0
       393s  thinking 68,664, writing 0
       423s  thinking 73,503, writing 0
       453s  thinking 78,402, writing 0
       483s  thinking 83,436, writing 0
       515s  thinking 87,510, writing 0
       545s  thinking 94,825, writing 0
       576s  thinking 101,243, writing 0
       607s  thinking 107,948, writing 0
       637s  thinking 113,314, writing 0
       667s  thinking 115,373, writing 5,581
       697s  thinking 115,373, writing 15,799
  45-blanks: 720s, thought 115,373 chars, wrote 22,980 chars
