        30s  thinking 4,801, writing 0
        60s  thinking 9,478, writing 0
        90s  thinking 14,315, writing 0
       120s  thinking 18,868, writing 0
       150s  thinking 22,999, writing 0
       180s  thinking 27,006, writing 0
       210s  thinking 31,111, writing 0
       240s  thinking 35,451, writing 0
       270s  thinking 39,455, writing 0
       300s  thinking 43,682, writing 0
       330s  thinking 47,486, writing 0
       361s  thinking 51,616, writing 0
       391s  thinking 55,426, writing 0
       421s  thinking 59,388, writing 0
       451s  thinking 63,063, writing 0
       481s  thinking 66,981, writing 0
       511s  thinking 70,663, writing 0
       541s  thinking 74,939, writing 0
       571s  thinking 79,645, writing 0
       601s  thinking 83,690, writing 0
       631s  thinking 87,479, writing 0
       661s  thinking 91,449, writing 0
       691s  thinking 95,304, writing 0
       721s  thinking 99,674, writing 0
       751s  thinking 103,350, writing 0
       781s  thinking 107,818, writing 0
       811s  thinking 112,700, writing 0
       841s  thinking 117,245, writing 0
       871s  thinking 121,284, writing 0
       901s  thinking 125,363, writing 0
       931s  thinking 129,192, writing 0
       961s  thinking 133,772, writing 0
       992s  thinking 138,344, writing 0
      1022s  thinking 143,125, writing 0
      1052s  thinking 147,965, writing 0
      1082s  thinking 153,440, writing 0
      1112s  thinking 158,363, writing 0
      1142s  thinking 162,827, writing 0
      1172s  thinking 167,713, writing 0
      1202s  thinking 171,843, writing 0
      1232s  thinking 175,966, writing 0
      1262s  thinking 180,195, writing 0
      1292s  thinking 183,761, writing 0
      1322s  thinking 187,506, writing 0
      1352s  thinking 191,592, writing 0
      1382s  thinking 195,802, writing 0
      1412s  thinking 199,803, writing 0
      1442s  thinking 203,586, writing 0
      1472s  thinking 208,448, writing 0
      1502s  thinking 214,540, writing 0
      1532s  thinking 220,993, writing 0
      1562s  thinking 226,041, writing 0
      1592s  thinking 231,370, writing 0
      1623s  thinking 236,450, writing 0
      1653s  thinking 240,434, writing 0
      1683s  thinking 244,593, writing 0
      1713s  thinking 249,760, writing 0
      1743s  thinking 254,089, writing 0
      1773s  thinking 257,226, writing 2,008
      1803s  thinking 257,226, writing 10,940
      1833s  thinking 257,226, writing 19,881
      1863s  thinking 257,226, writing 27,865
      1893s  thinking 257,226, writing 35,008
      1923s  thinking 257,226, writing 42,921
      1953s  thinking 257,226, writing 51,194
  47-click: 1963s, thought 257,226 chars, wrote 54,123 chars
